PRODUCTO;PRECIO
Lavadora Automatica;810.64
Refrigerador Doble Puerta;683.07
Horno Microondas;670.01
Cafetera Eléctrica;502.03
Plancha de Vapor;721.10
Aspiradora Robot;742.01
Aire Acondicionado Portátil;963.25
Licuadora de Alta Potencia;992.85
Batidora de Mano;368.84
Secadora de Ropa;546.18
Ventilador de Torre;713.50
Purificador de Agua;118.10
Máquina de Coser;559.79
Tostadora de Pan;242.02
Máquina de Hacer Pan;331.65
Freidora de Aire;468.68
Humidificador Ultrasónico;800.21
Radiador de Aceite;504.07
Deshumidificador;747.44
Smartphone;962.40
Laptop;139.67
Smartwatch;312.05
Camara Digital;686.42
Impresora Multifuncional;606.41
Teclado Mecánico;281.51
Mouse Inalámbrico;392.21
Disco Duro Externo 1TB;460.69
Enrutador Wi-Fi;882.13
Consola de Videojuegos;865.93
Audífonos Bluetooth;838.81
Parlante Inteligente;450.33
Proyector Portátil;798.62
Reloj Despertador Digital;785.25
Báscula Inteligente;324.47
Termómetro Infrarrojo;313.24
Pulsera de Actividad;178.20
Kit de Seguridad para el Hogar;438.33
